,Frequency
oznamil,2121
ceskou,2110
prave,2101
zmenit,2094
novy,2086
statni,2086
spolecnosti,2085
sumpersku,2079
nazor,2070
more,2065
odjel,2059
komentar,2052
nejsou,2048
vyrazne,2048
mely,2037
jednom,2016
nasich,2012
vzniku,2003
studuje,1997
hrozi,1997
politiku,1990
nove,1989
svoje,1984
jenz,1983
samozrejme,1980
dulezite,1978
zajem,1977
socialnich,1974
vedeni,1974
koncepce,1973
vic,1971
zdenek,1964
jaderneho,1953
nechtel,1951
zde,1950
velkou,1947
takovou,1943
cesky,1943
podporu,1943
dvema,1942
uzavreni,1938
trochu,1938
jediny,1929
jednokolovy,1925
konci,1922
primatora,1917
plynu,1917
clen,1913
ct,1905
opakovane,1902
uskupeni,1883
casto,1879
komentovat,1878
druheho,1878
dnesni,1877
sveho,1875
hlasovat,1874
prostredi,1870
elektrarna,1866
lidovci,1857
obnovitelnych,1857
energetiky,1853
senatnim,1851
politicka,1840
informaci,1838
poslanec,1835
diskuze,1832
vetsi,1827
uradu,1822
prace,1819
ruska,1818
mlade,1817
odpoledne,1816
nejsilnejsim,1814
klubem,1813
nominovat,1812
putin,1812
dohromady,1811
echocz,1811
uhli,1809
realita,1806
urad,1806
ocenil,1794
kresel,1794
viz,1792
drive,1787
patrik,1786
diskuse,1784
nejvyssi,1783
rusku,1782
havlickova,1781
snemovne,1778
kandidovat,1778
poklada,1777
jej,1776
podporovala,1775
budejovicich,1760
slov,1760
jedenacti,1759
incidenty,1759
styskalo,1759
masarykovy,1758
pozdeji,1758
kozak,1758
organizacich,1757
dukovan,1757
ziskaly,1756
da,1756
boleslavi,1755
vivi,1755
obsadi,1755
neziskove,1754
krajsky,1754
nespojuje,1752
uspesnym,1752
geodet,1752
kolo,1752
breznovem,1752
vejprnic,1751
bolatic,1751
nazvane,1751
nestatni,1751
uherskobrodsky,1751
starostka,1751
finalistu,1751
pontis,1751
rican,1751
mikulovsky,1751
senatorovi,1751
konesina,1751
ustavni,1743
jednat,1735
rad,1727
tradicni,1716
cr,1705
ruske,1703
zeme,1703
tuto,1703
am,1687
happy,1684
tenhle,1678
oct,1678
shared,1678
monika,1677
druha,1677
daughter,1677
visiting,1677
tobetogether,1677
praci,1676
monikababisova,1676
mona,1676
pdt,1676
nejake,1668
rozvoj,1667
provazi,1667
drabova,1662
jdou,1658
potvrzuje,1656
soucasneho,1654
vyjadrila,1653
navstivit,1649
lide,1649
pod,1647
petr,1642
stranu,1641
uprimne,1637
napsal,1636
presne,1635
mistopredsedy,1634
znovu,1632
konecne,1631
vypada,1630
cesku,1628
jinych,1624
evrope,1622
komunalni,1620
soudi,1615
nesedi,1613
nesmyslny,1611
posililo,1609
ukazuje,1607
pocital,1607
dopadli,1606
dceru,1606
pomerne,1605
jednotlive,1605
nechalo,1603
spojuji,1602
uspeli,1602
mizerny,1602
krajskych,1601
necekaneho,1600
ministersky,1600
broze,1599
obecnim,1598
sumperskeho,1598
webu,1597
nevenovalo,1597
poctu,1597
zprava,1591
zustat,1590
tem,1589
vaclav,1587
vyjadreni,1583
hodin,1578
tym,1575
medii,1574
novinarum,1573
republice,1573
rocne,1569
ceska,1569
pomoci,1566
zemi,1562
polovinu,1554
stavu,1551
jedne,1549
hned,1547
odchod,1547
