,Frequency
vystudovala,109
ceska,109
obyvatel,109
media,109
oci,109
vojaci,108
kc,108
pocet,108
vyvoj,108
armada,108
the,108
vyroby,107
pouziti,107
druhou,107
fakultu,107
zacit,107
vypada,107
politicke,107
fyzikalne,107
nazoru,107
takoveho,106
jinde,106
sily,106
tyce,106
obcanu,106
konec,106
sama,106
nemam,106
vseho,105
zakladni,105
slunce,105
spojene,105
sil,105
nekoho,105
dosud,105
drive,105
jednoho,105
nazory,104
inzenyrskou,104
provozu,104
strane,104
vyrobu,103
casti,103
odpad,103
vzdycky,103
kterem,103
cesko,103
silne,102
francie,102
mluvit,102
pravo,102
resit,102
zbran,102
reaktory,102
odpoved,102
zbytecne,102
nova,102
nekolika,101
prostredi,101
ktereho,101
cvut,101
pripadne,101
nikoho,101
procent,101
lidstvo,101
narodni,101
cestou,101
ukrajinu,101
praze,100
likvidaci,100
dusledku,100
jej,100
videl,100
udalosti,100
izrael,100
konci,99
zmrd,99
timto,99
evropu,99
mnoha,99
cilem,98
moskve,98
auta,98
technologii,98
zkusenosti,98
politici,98
projektu,97
penez,97
vaclavagh,97
otazku,97
pozdeji,97
reakci,97
mensi,97
osobne,97
paliva,97
vedci,97
nejvice,96
jit,96
zacne,96
nejaka,96
cestu,96
stavbu,96
moznou,96
nejspis,96
studiu,96
strana,96
teprve,96
vetsinou,96
ct,96
krize,95
titul,95
slov,95
aplikace,94
zhruba,94
branit,94
ccx,94
doma,94
psal,94
bezpecnostni,94
elektromobily,94
konfliktu,94
temi,93
mesta,93
problemu,93
obor,93
neda,93
ekonomicky,93
souhlasit,93
generace,93
kazdeho,93
more,92
jediny,92
stal,92
brat,92
tj,92
svymi,92
vojsk,92
palivo,92
prohlaseni,92
cesky,91
globalni,91
pohrozil,91
druhy,91
ionizujiciho,91
elektrina,91
letadla,91
udajne,91
komu,91
vykon,91
hlavice,90
dozimetrie,90
slovo,90
tezke,90
tou,90
miliardy,90
setkani,90
britanie,90
cssr,90
federace,90
existuje,90
zmenit,90
prava,90
neumi,89
venovala,89
obeti,89
oproti,89
phd,89
politicky,89
raketach,89
smerem,89
lidstva,89
nebot,89
zmeny,89
podminky,88
zadnou,88
obou,88
cem,88
doktorskemu,88
statniho,88
budoucnost,88
nekteri,88
hrad,88
pul,88
zejmena,88
souvislosti,88
kdysi,88
uhelne,88
osobni,88
velkou,87
srovnani,87
jedne,87
dne,87
stovky,87
informoval,87
stane,87
ministerstva,87
ministryne,87
skupiny,87
svine,87
uloziste,87
mld,87
plati,87
ruskou,87
smrti,87
mluvi,86
energetiku,86
cemu,86
vesmiru,86
mir,86
moskvy,86
podporu,86
nikoliv,86
nechtel,85
