word_text,count
zacal,90
svymi,89
doma,89
rady,89
udajne,89
nemusi,89
likvidaci,89
komu,89
nejaka,89
jej,89
phd,89
hlediska,89
vetsinou,89
penez,89
nemam,89
venovala,89
stavbu,88
byste,88
prostredi,88
doktorskemu,88
reaktory,88
sil,88
miru,88
nekoho,88
deje,87
technologii,87
branit,87
pohrozil,87
podminky,87
cem,87
reakci,87
neda,87
konfliktu,87
jinde,87
zmenit,87
vseho,87
cestu,87
pouziti,87
musel,87
timto,86
francie,86
stavu,86
urovni,86
celem,86
sily,86
casti,86
krize,86
nem,86
dostat,86
vzdycky,85
strane,85
ekonomicky,85
teprve,85
tou,85
pozdeji,85
slunce,85
hrad,85
problemu,85
jediny,84
politicky,84
paliva,84
jit,84
slovo,84
rizeni,84
zivota,84
evropu,84
obyvatel,84
cilem,84
otazku,83
elektrina,83
uhelne,83
brat,83
zakladni,83
oproti,83
stovky,83
spojene,83
energetiku,83
stavbe,83
nekteri,83
osn,83
generace,82
ruskym,82
nejspis,82
nikoho,82
zmeny,82
vliv,82
cemu,82
minimalne,82
velkou,82
vidim,82
zadnou,82
lidstvo,82
jedne,82
projektu,82
vedet,82
druhy,82
politici,81
zacne,81
kratkeho,81
mensi,81
existuje,81
kterem,81
pravo,81
cesko,81
palivo,81
zit,80
plati,80
dolaru,80
pul,80
stane,80
vytvoreni,80
stal,80
nejvice,80
zkusenosti,80
pocet,80
cesky,80
platit,80
aniz,79
budoucnost,79
nebot,79
rozmistenim,78
dava,78
globalni,78
podporu,78
patri,78
bezpecnostni,78
souvislosti,78
mluvi,78
praze,78
zas,78
dneska,78
cestou,77
hlavice,77
vedci,77
pohledu,77
politicke,77
media,77
nikoliv,77
bomby,76
obcanu,76
nahodou,76
schopen,76
myslite,76
udalosti,76
ps,76
ukrajiny,76
uradu,76
prostredky,76
nahradit,76
auta,76
ukrajina,76
jadernem,76
smerem,76
ministryne,76
more,75
dosud,75
dni,75
nikde,75
nazory,75
energetika,75
stavi,75
temi,75
prilis,75
teda,75
snaha,75
hlavy,74
ruskeho,74
kazdeho,74
rf,74
akorat,74
ukrajine,74
syrii,74
mir,74
doufam,74
obou,74
srovnani,74
zejmena,74
cesku,74
pohled,73
ziskat,73
statniho,73
zbytecne,73
raji,73
musime,73
zbran,73
reaktor,72
skoda,72
jiri,72
skupiny,72
udelal,72
mesta,72
male,72
program,72
prohlaseni,72
energetice,72
dne,72
kdysi,72
dlouhodobe,72
nijak,72
kremlu,72
tudiz,72
ukrajinu,72
americka,71
mely,71
korun,71
zacina,71
dusledku,71
armada,71
zhruba,71
dulezite,71
rict,71
ukol,71
site,71
ruzne,70
minulosti,70
bezpecnosti,70
naseho,70
poslednich,70
prava,70
desitky,70
zniceni,70
michalsnobr,70
zajem,70
maly,70
dokaze,70
hlavnim,70
realne,70
procent,69
obeti,69
solarni,69
hrade,69
meho,69
nadale,69
rusy,69
projekt,69
cili,69
nedavno,69
rada,69
pomoc,69
nesmysl,69
abych,69
velice,69
tentokrat,68
takovych,68
miliardy,68
chapu,68
nekterych,68
krymu,68
us,68
ukazuje,68
lodi,68
psal,68
tezko,68
potrebuje,68
tezke,68
skoly,68
spolecne,68
jedina,67
okamzite,67
hlavu,67
cernobylu,67
dukovanech,67
inf,67
slov,67
zpet,67
zivotnost,67
volbach,67
zacatku,67
cviceni,67
dali,67
dodnes,66
poctu,66
narodni,66
dalo,66
budeli,66
pravdepodobne,66
ceho,66
bojovat,66
novakova,66
uderu,66
trumpa,66
nebudu,66
nemeli,66
historii,66
driv,66
moskvy,66
formou,66
doba,66
mesice,66
tym,65
amici,65
vychode,65
vystavby,65
letu,65
zajmu,65
ceskych,65
zajmy,65
politice,65
zapade,65
zastavit,65
tyka,65
otazky,65
ministerstvo,65
novou,65
bures,64
obe,64
autor,64
budoucnosti,64
zakon,64
vyrobit,64
mnoha,64
rocne,64
najednou,64
tyden,64
neumi,64
vyroba,64
britanie,64
uloziste,64
ruskou,64
narod,64
vojaku,64
umi,64
zajimave,64
vybuchu,64
organizace,64
andrej,64
abychom,64
predstavit,64
nemela,64
vysledek,64
hezky,64
vsechna,64
pocit,63
dane,63
rici,63
okolo,63
temelina,63
zpusob,63
jednat,63
kc,63
hranice,63
jinou,63
hranic,63
radi,63
cokoliv,63
dostali,63
soudruzi,63
vykon,63
americkeho,63
moskva,63
oci,63
celeho,62
jina,62
nechteji,62
urad,62
petr,62
museli,62
ostatne,62
dojde,62
setkani,62
mala,62
dukovan,62
tyhle,62
nebezpeci,62
zaklade,62
minut,62
smlouva,62
vitr,62
poprve,61
rozhodovat,61
denne,61
podivat,61
vesmiru,61
obyvatele,61
roli,61
pracovat,61
vyrabet,61
okolnosti,61
prisel,61
resi,61
jednim,61
hranici,61
elektromobily,61
utokem,61
stav,61
nechapu,61
konkretne,61
stavba,61
severni,61
obecne,61
podstatne,61
americti,61
rade,61
vykonu,60
zbytek,60
demokracie,60
valkou,60
strely,60
zahranicni,60
ekonomicke,60
kazdem,60
strana,60
odzbrojovaci,60
vyse,60
jednani,60
moskve,60
stavby,60
vsemi,60
izrael,60
havarie,60
dobra,60
pujde,60
znicit,60
jehoz,60
jan,60
jakou,59
tematem,59
mistni,59
rikam,59
muzou,59
riziko,59
video,59
sluzby,59
trhu,59
premier,59
ctzive,59
vetsinu,59
dluhu,59
jaka,59
dostatecne,59
financni,59
rekla,59
iran,58
mista,58
dispozici,58
sanci,58
letadla,58
podil,58
zacali,58
voda,58
bezpecne,58
tajne,58
cist,58
tj,58
pekne,58
schopny,58
nechci,58
vcera,58
vodu,58
kazda,58
zbrojeni,58
vyrazne,58
zabranit,58
prostrednictvim,57
smrti,57
zakladny,57
planu,57
