word_text,count
parlament,21
svoji,21
velikost,21
muzou,21
vis,21
otazku,21
ukrajinu,21
oze,21
mala,21
evropa,21
sebou,21
smysl,21
brzy,20
stejni,20
ucasti,20
doufam,20
penez,20
stali,20
knihy,20
rezimu,20
vliv,20
radost,20
nejvic,20
zle,20
teda,20
zpusobem,20
krymu,20
jinym,20
demokracii,20
americane,20
aniz,20
vyrobit,20
elektriny,20
zacina,20
nahodou,20
pocit,20
muzeme,20
oproti,20
plati,20
temer,20
nektere,20
rikam,20
rikat,20
podstate,20
primo,20
denne,20
nebezpeci,20
jadro,20
kremlu,20
komu,20
tezke,20
politici,20
napr,20
muz,20
elektrarny,20
obrany,20
jinych,20
cokoliv,20
obdobi,20
chovat,20
existuje,20
radu,19
mir,19
prichazi,19
kterymi,19
kdybys,19
vojaci,19
nova,19
historicky,19
ruskych,19
neslo,19
vysledek,19
vztahu,19
odpad,19
amici,19
prijdou,19
vzhledem,19
pravidla,19
dulezite,19
brat,19
tyce,19
napriklad,19
cca,19
premier,19
rict,19
pripadne,19
prime,19
zacatku,19
prilis,19
cekat,19
neumi,19
zdroju,19
navrh,19
jaksi,19
predseda,19
prohlaseni,19
mluvi,19
spolecne,19
blok,19
takovych,19
mimochodem,19
patrne,19
dane,19
slovy,19
stal,19
more,19
zapade,19
podivat,19
dostane,19
strasne,19
politicky,19
leta,19
skvele,19
nicemu,19
jedina,18
velkou,18
uplny,18
ukrajina,18
nasich,18
novinare,18
sily,18
video,18
dali,18
sssr,18
nesmi,18
ucast,18
obcanu,18
tez,18
syrie,18
likvidaci,18
dni,18
dne,18
pracovat,18
sit,18
revoluce,18
tentokrat,18
sankce,18
soudruh,18
informaci,18
tyden,18
ucit,18
prilezitost,18
verit,18
prispevku,18
hranici,18
stary,18
jadernym,18
mistni,18
myslenky,18
natolik,18
ruzne,18
obe,18
minuly,18
sanci,18
nechtel,18
mladi,18
okolnosti,18
drzi,18
raji,18
predstavit,18
nevidel,18
meho,18
stredniho,18
casti,18
bychom,18
muset,18
nikomu,18
jinou,18
hubu,18
skupiny,18
doletu,18
abys,18
nejvyssi,18
ekonomicky,18
reagovat,18
neznamena,18
cesky,18
museli,18
komunisti,18
vzali,18
nejakeho,18
nicmene,18
jedne,18
souvisi,18
kalousek,18
muzes,18
radsi,18
pristi,17
zdaleka,17
musime,17
americky,17
kazdeho,17
musis,17
americkych,17
jakym,17
smerem,17
svetlo,17
jede,17
mesic,17
vcera,17
dostali,17
bojovat,17
zasadni,17
zmeny,17
kdybych,17
pokus,17
drive,17
osobni,17
nizsi,17
ukrajinske,17
ministerstvo,17
setkani,17
narodni,17
obcas,17
kubera,17
dala,17
veku,17
cssd,17
spolecnost,17
dusledku,17
tyka,17
zivoty,17
volit,17
plny,17
budoucnost,17
pujde,17
dobra,17
moskva,17
stredni,17
smrti,17
nijak,17
zprava,17
zvysit,17
rusum,17
rijna,17
vladimir,17
mensi,17
hloupy,17
tenhle,17
akorat,17
otazky,17
zadnou,17
ustavni,17
kazda,17
ceska,16
americke,16
americkeho,16
minulosti,16
zakony,16
mladsi,16
mely,16
zapadni,16
reakci,16
mem,16
slusne,16
zari,16
zacalo,16
duse,16
zaroven,16
odkud,16
mistech,16
zato,16
rodiny,16
poradne,16
rano,16
rezim,16
stacilo,16
dulezity,16
syrii,16
nechteji,16
funkci,16
oznacil,16
snemovny,16
pral,16
zony,16
vychode,16
fajn,16
kyjeve,16
nedokazali,16
zruseni,16
drzet,16
nasili,16
schopny,16
zadnem,16
pomerne,16
poslusne,16
radi,16
jan,16
dani,16
ukrajiny,16
dany,16
vyuzit,16
mezinarodni,16
aneb,16
pekne,16
donbasu,16
musite,16
zajimave,16
oba,16
kratkeho,16
jaderneho,16
vystoupil,16
zivotni,16
souvislosti,16
jina,16
rustu,16
rusti,16
ukrajinska,16
prahu,16
zacnou,16
nebe,16
moznosti,16
lzi,16
cen,16
krize,16
pokani,16
kuzi,16
musim,16
vyjadrovat,15
pravidelne,15
citil,15
vime,15
zeny,15
skutecnosti,15
smyslu,15
zapadem,15
platit,15
bruselu,15
snadno,15
libi,15
plynu,15
poctu,15
fyzika,15
existuji,15
zjevne,15
ruskou,15
zniceni,15
lodi,15
nesmysl,15
program,15
krasne,15
jidla,15
vaseho,15
lidska,15
oboru,15
uprostred,15
energii,15
oskliva,15
hovno,15
prazaci,15
dodnes,15
konkretne,15
miliard,15
cetl,15
dvakrat,15
zbytek,15
dari,15
nebezpecne,15
kazdopadne,15
cerne,15
ukrajinsky,15
hele,15
laska,15
ocich,15
rade,15
dostatek,15
funkce,15
tito,15
zastupce,15
sankci,15
organizace,15
ctu,15
umele,15
nechci,15
odpovednost,15
tradicni,15
slusi,15
trikrat,15
ministr,15
hospodarstvi,15
donecke,15
novych,15
vypovezeni,15
cekal,15
nemeli,15
centralni,15
hloupost,15
cena,15
zitra,15
doba,15
napsala,15
bezpecne,15
dlouhe,15
chysta,15
zacali,15
tuhle,15
jednat,15
novicok,15
stastny,15
informoval,15
popsal,15
plany,15
neumite,15
tveho,15
vsemi,15
starsi,15
trpi,15
praha,15
vmesovani,15
zacit,15
konflikt,15
smlouvu,15
vondracek,15
voda,15
clenove,14
jinymi,14
zbrane,14
zarizeni,14
vracet,14
soudruzi,14
novym,14
skolstvi,14
nemusi,14
lidskou,14
predtim,14
zbranemi,14
zpet,14
temi,14
moskve,14
km,14
tvari,14
nazvat,14
zrusila,14
nedeje,14
menit,14
logicky,14
znameni,14
ucitel,14
vlastnim,14
osobne,14
clanky,14
emigraci,14
tomhle,14
omluva,14
vlasy,14
znam,14
vetsinu,14
desitky,14
nasilim,14
termin,14
odpovim,14
nekomu,14
zalezelo,14
jj,14
odstoupeni,14
meste,14
hlas,14
vasich,14
vasim,14
zuby,14
kontrolou,14
drahos,14
zustala,14
zmenu,14
vyroci,14
samo,14
doslova,14
minut,14
konference,14
dostala,14
zastavit,14
evidentne,14
zalezitosti,14
trump,14
zil,14
tenkrat,14
fyziky,14
ceka,14
ok,14
hodnoceni,14
nikoliv,14
kapitalismu,14
nevedel,14
udela,14
ruskeho,14
komuniste,14
radon,14
fungovat,14
republice,14
poradku,14
nocnim,14
stovky,14
pytel,14
trva,14
vybuch,14
kluk,14
upekli,14
obeti,14
komunistu,14
hrube,14
prinesl,14
evropske,14
nemeni,14
vitr,14
obyvatele,14
chovani,14
hovado,14
zdroje,14
realne,14
vyrazne,14
nemecka,14
pate,14
ziskat,14
bloku,14
mych,14
socialni,14
propagandy,14
lidstvo,14
nevite,14
vysvetlovat,14
ptam,14
dite,14
komentoval,14
uspech,14
pozice,14
rusu,14
oznamil,14
evropu,14
bolseviku,13
volice,13
skole,13
faze,13
model,13
prisli,13
tydnu,13
jdu,13
cviceni,13
volat,13
rozumej,13
ukol,13
takovym,13
zejmena,13
osud,13
obcanske,13
dokumenty,13
hloupe,13
nepritele,13
dopadl,13
nikoli,13
zanedbatelne,13
miru,13
zvitezil,13
lidske,13
zlocince,13
