,domain,domain_count,domain_count_rel,domain_count_nerel
175,www.inner-light.ning.com,1,1,0
176,toyota.offroadforum.cz,1,1,0
177,denik.cz,1,1,0
178,test.agresori.com,1,1,0
179,f1sport.auto.cz,1,1,0
180,www.paratdnes.cz,1,1,0
181,www.ulekare.cz,1,1,0
182,www.spartaforever.cz,1,0,1
183,mobilizujeme.cz,1,1,0
184,dabingforum.cz,1,0,1
185,forum.digiarena.e15.cz,1,1,0
186,www.tenisportal.cz,1,0,1
187,forum.worldofwarships.eu,1,1,0
