,keyword,keyword_count,keyword_count_rel,keyword_count_nerel
129,httpswwwkupredudominulosticzkollermartindhrozinamdvevelkanebezpecijadernavalkamezinatoaruskemaafroislamskainvaze,7,5,2
130,httpdenikreferendumczclanekotazkynajadernouenergiiktereuvaclavamoravcenezaznely,7,5,2
131,jadernaenergie,7,7,0
132,lekari,7,7,0
133,httpswwwnovinkyczclanekputinhrozievropejadernouodvetou,7,0,7
134,fukusimu,6,6,0
135,radioaktivite,6,6,0
136,radioaktivitu,6,4,2
137,httpswwwinfoczevropskauniemerkelovoubymohlnahraditmerzzastancejaderneenergetikyavecneporazenyhtmlutmsourceonesignal,6,6,0
138,httpswwwceskenovinyczzpravybloombergcrmuzepodlenovakoveodlozitjaderneprojekty,6,6,0
139,ceskou,6,5,1
140,ovzdusi,6,6,0
141,httpswwwinfoczenergetikababisprotizemanovipotvrdilzejehovladachceodlozitvystavbujadernychblokuhtml,6,2,4
142,httpswwwinfoczceskoceskoriskujehneveukvulirozsirenidukovanbruselmaobavyzrostoucihovlivuruskahtml,6,5,1
143,mediciny,6,6,0
144,httpswwwsecuritymagazinczsecurityputinhrozievropemoznostijaderneodvetyprijmeliraketyusahtml,6,6,0
145,httpsplusrozhlasczjakbreznevvrocemalemrozpoutaljadernouvalku,6,0,6
146,httpsarchivihnedczcumelainteligencejakojadernazbran,6,4,2
147,fukushima,6,6,0
148,httpsdomaciihnedczckdoprevezmedopravuvprazedolinkanahradischeinherrkteryjezdisjadernymodpademposvetedopolitikysedostalkvulilibenskemumostu,6,4,2
149,odpaduhistorie,6,5,1
150,davka,6,6,0
151,izotop,6,4,2
152,elektrarnyv,6,5,1
153,elektrarnypohled,6,5,1
154,httpswwwirozhlasczekonomikatemelindukovanydanadrabovajadernaelektrarnaako,6,5,1
155,radiacnimi,6,5,1
156,httpseurozpravyczzahranicnievropaputinzavelelrusoveprocvicilijadernesilyatoisodpalyraket,6,6,0
157,radonoveho,6,6,0
158,jadernejch,6,6,0
159,dukovanechvzhledem,6,5,1
160,temeliny,5,5,0
161,unika,5,4,1
162,spadem,5,3,2
163,kosmicke,5,5,0
164,httpswwweczdomacivystavbanovychjadernychblokuipodporauhlizemanuvexpertnitymseshodlnaenergetickevizi,5,5,0
165,radonovy,5,5,0
166,httpswwwinfoczenergetikaministerstvoprumyslucouvazvystavbyjadernychblokuzrejmeprojektodlozihtml,5,5,0
167,httpseurozpravyczzahranicnievropaputinpohrozilevropejadernymutokem,5,5,0
168,ozarenim,5,4,1
169,radonove,5,5,0
170,radiacnich,5,4,1
