,keyword,keyword_count,keyword_count_rel,keyword_count_nerel
398,httpsczsputniknewscomsvetruskousasmlouvajadernezbraneztratahodnotaexpert,1,1,0
399,httpsdeniknczpostavmejaderneblokynezekonomikazpomaliceskefirmynatomvydelajivyzyvazemanuvporadcenejedly,1,1,0
400,httpsdomaciihnedczckdoprevezmedopravuvprazedolinkanahradischeinherrkteryjezdisjadernymodpademposvetedopolitikysedostalkvulilibenskemumostufbclidiwardwtakctuamuztbtfcbdkpusqixqaufotvfjrzrpie,1,0,1
401,httpsceskoaktualneczpolitikapujdemenebeprosteumroureklputinkjadernevalce,1,1,0
402,davky,1,1,0
403,httpoenergeticeczjaderneelektrarnyjakejsoucenyzajadernereaktoryiiigenerace,1,0,1
404,httpsblistyczarttrumpvyvolavajadernouhrozbouhorsinezbylastudenavalkahtml,1,0,1
405,httpoenergeticeczjaderneelektrarnyruskotestujesystemkteryprepracujeazvyhorelehoodpadu,1,0,1
406,httpoenergeticeczobnovitelnezdrojemwfotovoltaickaelektrarnaucernobylskejaderneelektrarnybrzyzahajiprovoz,1,1,0
407,httpoenergeticecztechnologieelektroenergetikaplavidlanajadernypohonpohleddopodpalubi,1,1,0
408,httpprotiproudparlamentnilistyczpolitikastrategovenatopripravujivalkusruskemjizzcelaotevrenebubnypropagandyduninaplnopobaltskygambitinspiracehitlerovouoperacibarbarossaajakvsesouvisiszarimsenojadernebezpecnostijeprychtm,1,0,1
409,httpradiationsciencecomjapantodrainradioactivefukushimawaterdirectlyintopacificoceanhtml,1,1,0
410,httpsacczceskystatniuradprojadernoubezpecnostdavavevystavbeblokuprednostkorejcum,1,1,0
411,elektrarnakazdy,1,1,0
412,httpsacczruskopohrozilojadernouodpovedpokudseobjevivevropenoveamerickerakety,1,1,0
413,httpsacczzajakychokolnostipouzijemejadernezbraneputinpronesltvrdaslova,1,1,0
414,httpsautoroadczhistorienejabsurdnejsistrojsovetskehosvazupohanenychkolneslotunjadernezkazy,1,1,0
415,httpsblistyczartjohnboltonpresvedcujetrumpaabyusaodstoupilyodsmlouvysruskemoomezenijadernychzbranihtml,1,1,0
416,httpsblistyczartmerkelovavjeruzalemeirannesmiziskatjadernezbranehtml,1,1,0
417,httpsblistyczartputinvpripadejadernevalkyrusovepujdoudonebehtml,1,1,0
418,httpsblistyczartsnaziseiranpohrbitjadernoudohoduhtml,1,1,0
419,httpsblistyczarttrumpusazrusidohoduoomezenijadernychzbranisruskemhtml,1,0,1
420,httpstsargradtvnewsnajadernomobektesshaproizoshlochprabotnikijevakuirovanysmi,1,1,0
421,zivotnostdukovanbysemohlaprodlouzitodesetletminibabis,1,1,0
422,httpsvideoaktualneczdvtvzivevysokahraojadromaceskorozsiritdukovanyatemelinrfaeacadeadccabfredirected,1,0,1
423,lecbe,1,1,0
424,jadernprogramatdvankat,1,1,0
425,jadernychzbrani,1,1,0
426,jadernymu,1,0,1
427,jadernymy,1,0,1
428,jadernyreaktor,1,1,0
429,jod,1,1,0
430,kennedyjaderne,1,1,0
431,kosmickem,1,1,0
432,kosmickemu,1,1,0
433,kosmickou,1,1,0
434,lecby,1,1,0
435,jadernouplutoniovou,1,1,0
436,lekar,1,1,0
437,lekarka,1,1,0
438,lekarky,1,1,0
439,letadle,1,1,0
440,letadlem,1,1,0
441,letadlo,1,1,0
442,letadlova,1,1,0
443,letadlovych,1,1,0
444,medicinu,1,1,0
445,mluvilrentgenky,1,1,0
446,jadernov,1,1,0
447,jadernima,1,1,0
448,nehodil,1,0,1
449,jadernackych,1,1,0
450,httpwwwsupertrefacznovyjadernyzdrojiplynovodybacianordstreamministrynemartanovakovajednalasrakouskymvelvyslancem,1,1,0
451,httpwwwtouchoflovershandsczmetrotemnavizemoskvypojadernehtml,1,0,1
452,httpwwwzvedavecorgkomentarebylavjemenupouzitamalajadernabombahtm,1,0,1
453,httpzpravyeczbyznysprumyslaenergetikajadrosevusaprestavavyplacetnaodstreljedalsielektrarna,1,1,0
454,imradonblaze,1,0,1
455,izotopicky,1,1,0
456,izotopie,1,1,0
457,izotopum,1,1,0
458,jadern,1,1,0
459,jadernaci,1,0,1
460,jadernaelektrarnadukovany,1,1,0
461,jaderniku,1,0,1
462,jadernaka,1,1,0
463,jadernech,1,1,0
464,jadernedoly,1,1,0
465,jaderneelektrarny,1,1,0
466,jaderneji,1,1,0
467,jadernema,1,0,1
468,jadernicce,1,0,1
469,jadernice,1,0,1
470,jadernich,1,1,0
471,jadernik,1,0,1
472,nehodaautobusu,1,0,1
473,nehodila,1,1,0
474,httpswwwaazdravicztichyzabijakcechujmenemradonnekteredomacnostijsouhorsinezuranovedoly,1,1,0
475,temelinsky,1,1,0
476,rentgen,1,1,0
477,rentgeneloga,1,1,0
478,rentgenova,1,1,0
479,rentgenovani,1,1,0
480,rentgenove,1,1,0
481,rentgenovem,1,0,1
482,spada,1,1,0
483,statnimu,1,1,0
484,temelinarakouska,1,1,0
485,temelindiky,1,1,0
486,temelinskymi,1,1,0
487,radonovotny,1,0,1
488,temelinst,1,0,1
489,temelinsti,1,1,0
490,temelinvypousti,1,1,0
491,terapie,1,1,0
492,terapii,1,1,0
493,unikem,1,1,0
494,unikl,1,1,0
495,uniky,1,1,0
496,zarenia,1,1,0
497,zarenimatematicky,1,1,0
498,radonovym,1,1,0
499,radonovku,1,1,0
500,nehodili,1,1,0
501,ozaren,1,1,0
502,nehodlaji,1,1,0
503,nehodlas,1,0,1
504,nehodnot,1,0,1
505,nehodnotili,1,1,0
506,nuklearnimedicina,1,1,0
507,nuklearnimu,1,1,0
508,nuklearnirodina,1,0,1
509,odpadni,1,1,0
510,odpadnich,1,1,0
511,odpadnim,1,1,0
512,ozarenych,1,1,0
513,radonovem,1,1,0
514,ozarenym,1,0,1
515,potravin,1,1,0
516,potravinach,1,1,0
517,potravinarstvi,1,1,0
518,radiacnimu,1,1,0
519,radioaktivit,1,1,0
520,radioaktivitynejakou,1,1,0
521,radioaktivnihonvzorku,1,0,1
522,radionuklearnimi,1,1,0
523,radoni,1,1,0
524,httpwwwsolarninovinkyczzpravyvyplatisepostavitstresnisolarnielektrarnuiposkoncenipodporyv,1,1,0
525,httpwwwprvnizpravyczzpravyzpravymypujdemedonebeaoniprosteumroureklputinkjadernevalce,1,1,0
526,httpwwwprochlapyczclankychybelomaloabynastalnuklearniusvitbehemstudenevalkybylnekolikratodvolanjadernyutokdoslovazapetminutdvanact,1,1,0
527,httpswwwlidovkyczsvetopustenaveskteroupoziraprirodaavnitrizenyvlkuaniradiacesenebojimealnzahranicimsl,1,0,1
528,httpswwwkupredudominulosticzkollermartindhrozinamdvevelkanebezpecijadernavalkamezinatoaruskemaafroislamskainvazefbclidiwaraicmfzzpijfyzgisteggiyrpodktqznlzvsqvnbnyhxmggyuy,1,0,1
529,httpswwwkupredudominulosticzkollermartindhrozinamdvevelkanebezpecijadernavalkamezinatoaruskemaafroislamskainvazefbclidiwaryfgdcmzbgzltplefrlprdlctfolyrimfxbxhmklmlpfeebyww,1,1,0
530,httpswwwkupredudominulosticzkollermartindhrozinamdvevelkanebezpecijadernavalkamezinatoaruskemaafroislamskainvazefbclidiwaryfgdcmzbgzltplefrlprdlctfolyrimfxbxhmklmlpfeebywwu,1,1,0
531,httpswwwkurzyczzpravybabiszivotnostjedukovanybysemohlaprodlouzitolettobudejenmldoprotimld,1,1,0
532,httpswwwkurzyczzpravycezprodlouzenizivotnostidukovanpodledrabovebudesilittlakopacnynadrivejsiuzavreni,1,1,0
533,httpswwwkurzyczzpravyjadernaenergiejeproceskourepublikunejlepsimresenim,1,1,0
534,httpswwwkurzyczzpravykldrbezjadernychzbraniusasipochvalujijednaniskimem,1,1,0
535,httpswwwkurzyczzpravyministryneprumysluaobchodujednalasgeneralnimreditelemagenturyprojadernouenergiioecd,1,1,0
536,httpswwwkurzyczzpravynovyjadernyzdrojiplynovodybacianordstreamministrynemartanovakovajednalasrakouskym,1,1,0
537,httpswwwlidovkyczsvetagresorichcipnourusovepujdoudorajeruskopouzijejadernezbranejennaobranurikaputinalnzahraniciele,1,1,0
538,httpswwwmemzaczczpresidentjiznikorejeslibiluzavrenivsechjadernychelektrarenvzemi,1,1,0
539,httpswwwinfoczevropskauniemerkelovoubymohlnahraditmerzzastancejaderneenergetikyavecneporazenyhtml,1,1,0
540,httpswwwmzvczhelsinkiczobchodaekonomikaaktualitycestivyrobcijadernychtechnologiihtml,1,1,0
541,httpswwwnovinkyczdomacijaromericenadrokytnounechtejiulozistejadernehoodpaduhtmltak,1,1,0
542,httpswwwnovinkyczekonomikabruselpovolilmadarskurozsirenijaderneelektrarnypakshtml,1,0,1
543,httpswwwnovinkyczekonomikasvedisejaderneenergienebojiplanujipostavitazdesetnovychreaktoruhtmljaderna,1,1,0
544,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputin,1,1,0
545,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtmlfbclidiwareuxdnixrhnueqjgwncjykziqisubfumcvtohbvxvtzkgmcwhc,1,1,0
546,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtmljojo,1,0,1
547,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtmlna,1,0,1
548,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtmlsourcefbs,1,1,0
549,httpswwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtmlvzdycky,1,0,1
550,httpswwwkrvysocinaczvismodokumentyaspidnstanoviskovedenikrajevysocinaanbspobcanskychskupinknbspvyrokumministryneprumysluanbspobchoduanbsppredsedyvladycrvenbspvecivystavbynovychjadernychzdrojup,1,1,0
551,httpswwwinfoczenergetikaoodlozenivystavbynovychjadernychblokunebylarectvrdihradcekarychlerozhodnutihtml,1,1,0
552,httpwwwprekonczuhelneajaderneelektrarnynejsoujenovyrobeelektrickeenergiehtml,1,1,0
553,httpswwwdenikczzesvetakldrvlastniodhademjadernychzbranitvrdijihokorejskyministrhtml,1,1,0
554,httpswwwassocopernicorgrozervanatelahvezdodhalujipuvodradioaktivnichmolekul,1,1,0
555,httpswwwbikediscountdeenbuyradonzr,1,0,1
556,httpswwwbudejckadrbnaczzpravyspolecnostvtemelineserozeznisirenanatemerpatnactminutslysetbudeivokolihtml,1,1,0
557,httpswwwceskatelevizeczivysilanihorizontctobsahjadernedohodyvohrozenirozhovorsdmirejovskym,1,0,1
558,httpswwwceskenovinyczzpravybloombergcrmuzepodlenovakoveodlozitjaderneprojektyutmsourcetwitterutmmediumtwitterfeedutmcampaigntwitter,1,1,0
559,httpswwwceskenovinyczzpravyexpertnitymprezidentazemanapodporiljadernouenergetikuutmsourcetwitterutmmediumtwitterfeedutmcampaigntwitter,1,1,0
560,httpswwwceskenovinyczzpravypompeojednalskimemojadernemodzbrojenikldrutmsourcetwitterutmmediumtwitterfeedutmcampaigntwitter,1,1,0
561,httpswwwceskenovinyczzpravyputinhrozievropemoznostijaderneodvetyprijmeliraketyusautmsourcetwitterutmmediumtwitterfeedutmcampaigntwitter,1,1,0
562,httpswwwcezczcsvyrobaelektrinyjadernaenergetikarealitaamytyojaderneenergiihtml,1,1,0
563,httpswwwcezczcsvyrobaelektrinyparoplynoveelektrarnyprovozovaneparoplynoveelektrarnyhtml,1,1,0
564,httpswwweczbyznysprumyslaenergetikajadrosevusaprestavavyplacetnaodstreljedalsielektrarna,1,1,0
565,httpswwwextraczjaksezijeobetemjadernekatastrofyvcernobylupodivejtesenatechtofotografiiutmsourcefacebookcomutmmediumsocialorganicutmcampaignjice,1,1,0
566,httpswwwecznazoryzapisnikvladanagallistlajadernysmutek,1,1,0
567,httpswwweczzahranicniamerickyministrzahraniciseseselskimcongunemjednaliojadernemprogramukldr,1,1,0
568,httpswwwelektrinaczfukusimaparletpotragediidotichehooceanustaleunikaradioaktivnivoda,1,1,0
569,httpswwweuroczbyznysbombamezireaktoryruskomanejmodernejsijadernouelektrarnusveta,1,1,0
570,httpswwweuroczbyznysbombamezireaktoryruskomanejmodernejsijadernouelektrarnusvetautmmediumselfpromoutmsourceeuroutmcampaigncopylink,1,1,0
571,httpswwweuroczbyznysipresstrastijadernehoprumyslurosatomposilujepozici,1,1,0
572,httpswwweuroczbyznyssofistikovanihackerikteriumiutocitnaelektrarnypochazizmoskvy,1,1,0
573,httpswwweuroczpolitikababiszivotnostdukovanbysemohlaprodlouzitodesetletnovyblokbybyldesetkratdrazsiutmmediumselfpromoutmsourceeuroutmcampaigncopylink,1,1,0
574,httpswwweuroczpolitikapripravahlubinnychulozistjadernehoodpadubudestatmiliardy,1,1,0
575,httpswwwextraczjaksezijeobetemjadernekatastrofyvcernobylupodivejtesenatechtofotografiiutmsourcefacebookcomutmmediumsocialorganicutmcampaignagi,1,1,0
576,httpswwwnovinkyczzahranicnievropaputinhrozievropejadernouodvetouhtmla,1,1,0
577,httpswwwnovinkyczzahranicnievropaputinhrozievropejadernouodvetouhtmlfbclidiwareawtbqcdufyjxpctbijdzslqdincwgchspaplhzghwhl,1,1,0
578,httpswwwnovinkyczzahranicnizaoraleksevernikoreanechystajadernypokushtml,1,1,0
579,httpwwwabclinuxuczclankyjadernenovinyprehledzazari,1,1,0
580,httpswwwtydenczrubrikyzahraniciruskoaokoliputinhrozievropejadernouodvetouprijmeliraketyusahtml,1,1,0
581,httpswwwtydenikobcanskepravoczvezmemacronbabisemonetapodjadernymhtml,1,1,0
582,httpswwwurbexkdyzlideodejdouczljadernepracoviste,1,0,1
583,httpszahranicniihnedczcputinpriznalzepoanexikrymubylpripravenmobilizovatjadernyarzenal,1,1,0
584,httpszpravyidnesczruskosystematickymodernizujejadernyarzenalfozprnatoaspxcazprnatoinc,1,0,1
585,httpszpravyidnesczukrajinacernobylenergiehistoriejadernaobnovitelnepjhzahranicniaspxcazahranicniluka,1,1,0
586,httpszpravyidnesczukrajinacernobylenergiehistoriejadernaobnovitelnepjhzahranicniaspxcazahranicnilukautmsourcetwitterutmmediumsharecdutmcampaigndesktop,1,1,0
587,httptiskovkyeustoletrepublikyuhelneajaderneelektrarnynejsoujenovyrobeelektrickeenergie,1,1,0
588,httptnnovaczclanekputinhrozievropejadernymuderemvadimuamerickeraketyhtml,1,1,0
589,httptnnovaczclanekputinhrozievropejadernymuderemvadimuamerickeraketyhtmlrusko,1,1,0
590,httpwwwallforpowerczclaneknektereevropskestatyzjistujizevyhlasitodklonodjaderneenergiejemnohemsnazsinezjejopravduuskutecnitwspdbybtwitter,1,1,0
591,httpswwwonlinemuniczvedaavyzkumkdeukladatvyhorelejadernepalivoodpovedjevuranovychdolechutmsourcefbmilujemeutmmediumlinkutmcampaignfacebook,1,1,0
592,httpwwwarmadninovinyczjadernebombynayellowstonehtmlfbclidiwarbcofslssemwbmtoejscqnrfhprsjnwdixqyxvdrejtdsyvlk,1,1,0
593,httpwwwchytraenergieinfoindexphpoptioncomcontentviewarticleidatomjadernypodzimcatidatom,1,0,1
594,httpwwwenviwikiczwikisouborradiacnipusobeniarsvg,1,1,0
595,httpwwwextraczjaksezijeobetemjadernekatastrofyvcernobylupodivejtesenatechtofotografiiutmsourcefacebookcomutmmediumsocialorganicutmcampaignextraagi,1,1,0
596,httpwwwhybridczcinazacneuhelneelektrarnyprestavovatnajaderne,1,1,0
597,httpwwwjihlavskelistyczclanekenergeticizavezlipalivodoreaktorublokujedukovanyhtml,1,1,0
598,httpwwwobnovitelneczczclanekradioaktivniodpadzjadernychelektrarenletaneferhrastatuprotiobcim,1,1,0
599,httpwwwonetvczdetailzaberyzekterychmrazitakhlezilaukrajinskapripjatpreddesivoujadernoukatastrofouutmsourcefacebookcomutmmediumsocialorganicutmcampaignpesv,1,1,0
600,httpwwwoselczjadernaenergetikavrocehtml,1,1,0
601,httpwwwoselczstrachmavelkeocipopraskkolemrakovinystitnezlazydetivefukusimehtml,1,1,0
602,httpswwwtydenczrubrikyzahranicievropamerkelovavizraeliirannesmiziskatjadernezbranehtml,1,1,0
603,httpswwwtydenczrubrikybyznysceskoceskorekordnevyvaziproudlonivicnezvyrobiltemelinhtml,1,1,0
604,httpswwwtydenczaokoliputinhrozievropejadernouodvetouprijmeliraketyusahtml,1,1,0
605,httpswwwsvetmobilneczelektromobilykolikpotrebujitemelinu,1,1,0
606,httpswwwpatriaczzpravodajstvinovestarereaktorynemacenustavetnaobzorujeprevratnajadernatechnologiehtml,1,1,0
607,httpswwwpatriaczzpravodajstvizivotnostdukovanbysepodlebabisemohlaprodlouzitodesetlethtml,1,1,0
608,httpswwwpeakczsvetovysystemkontrolyjadernychzbranisedroli,1,1,0
609,httpswwwpolczczrubrikyjadernafyzikaaenergetikabudespustenifuzeznamenatvycerpanijejihopaliva,1,1,0
610,httpswwwpolczczrubrikyjadernafyzikaaenergetikafuzebude,1,1,0
611,httpswwwpozaryczclanektemelinproverilfyzickusvychhasicusplnouvybavouvybihalidoosmehopatra,1,1,0
612,httpswwwradonpozemkyczmereniradonustanoveniradonovehoindexupozemku,1,1,0
613,httpswwwsecuritymagazinczdefencevruskupostavitrimonstroznijaderneledoborcetridylidrhtmlutmsourcewwwseznamczutmmediumsekcezinternetu,1,0,1
614,zarenizakladni,1,1,0
615,httpswwwsecuritymagazinczhistorieoperaceoperalikvidaceirackehojadernehoreaktoruvosirakuhtmlutmsourcewwwseznamczutmmediumzboxiku,1,1,0
616,httpswwwsecuritymagazinczsecurityruskyvojenskyanalytikodpalmejadernebombynadyellowstoneazlomemsanandreashtml,1,1,0
617,httpswwwseznamzpravyczclanektrumpzrusiklicovoujadernoudohodusruskemazacnesvyvojemnovychzbraniampseqnodopabvariantsourceclankyhometwitterimpressiontrue,1,1,0
618,httpswwwseznamzpravyczclanektrumpzrusiklicovoujadernoudohodusruskemazacnesvyvojemnovychzbranidopabvariantseqnosourcehp,1,1,0
619,httpswwwseznamzpravyczclanektrumpzrusiklicovoujadernoudohodusruskemazacnesvyvojemnovychzbranidopabvariantseqnosourcehpno,1,1,0
620,httpswwwseznamzpravyczclanektrumpzrusiklicovoujadernoudohodusruskemazacnesvyvojemnovychzbranidopabvariantseqnosourcehptak,1,1,0
621,httpswwwstoplusjednickaczcosestalokdybyjadernacarbombaexplodovalavevesmiruutmsourcewwwseznamczutmmediumsekcezinternetu,1,1,0
622,httpswwwstoplusjednickaczstanislavpetrovmuzkterypredletyzachranilsvetpredjadernouvalkou,1,1,0
623,httpswwwsueneeczindiemahabharatapopisujejadernyvybuch,1,1,0
624,httpswwwsujbczjadernabezpecnostjadernazarizenijadernaelektrarnadukovanydulezitarozhodnutikprovozuedu,1,0,1
625,httpswwwsujbczmonitorovaniradiacnisituace,1,1,0
626,httpswwwsuroczczprirodniozradioaktivitastavebnichmaterialu,1,1,0
627,httpswwwsecuritymagazinczhistorieoperaceoperalikvidaceirackehojadernehoreaktoruvosiraku,1,1,0
