,author,author_count_total,author_count_rel,author_count_nerel,author_avg_influenceScore,author_avg_followers,author_avg_fans,author_avg_favs,author_avg_angry,author_avg_comments,author_avg_dislikes,author_avg_haha,author_avg_hearts,author_avg_like,author_avg_likes,author_avg_love,author_avg_retweet,author_avg_sad,author_avg_shares,author_avg_thankful,author_avg_uniqueVievs,author_avg_views,author_avg_wow
32,Vladimír Wagner,21,16,5,3.9047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,rebel_jak_svina,21,0,21,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,mik,19,3,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,AndrejSurňak (@AndrejPraha),18,18,0,3.0,112.61111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
36,Jiri Jilek,18,3,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Mařík,17,0,17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Frantisek Heczko (@fheczko),16,15,1,3.0,111.6875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
39,Ládik!!! naechu,16,0,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,České národní listy,16,14,2,4.3125,0.0,1308.5,0.0,0.4375,1.9375,0.0,0.125,0.0,0.6875,0.0,0.5,0.0,0.0625,2.5625,0.0,0.0,0.0,0.0625
41,Jan Novák,16,3,13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,r7,16,0,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,watabi,16,0,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Matka Představená (@MatkaPredstaven),15,14,1,4.0,364.3333333333333,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
45,medvedvsechnosned,15,9,6,1.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Stará Blažková,15,0,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Arne Věrný,15,1,14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Medvěd Brtník,15,9,6,4.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,mocko,15,0,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,RaS,15,9,6,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Miroslav Piták (@miroslavpitak),14,14,0,4.0,493.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Jan Palaščák (@jan_palascak),14,14,0,4.285714285714286,542.0,0.0,24.642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0714285714285716,0.0,0.0,0.0,0.0,0.0,0.0
